CatalogId,NoradId,Name
18338,18338,COSMOS 1879
18339,18339,COSMOS 1880
18402,18402,COSMOS 1891
18403,18403,SL-8 R/B
18421,18421,COSMOS 1892
18422,18422,SL-14 R/B
18427,18427,OPS 4682 DEB
18479,18479,OPS 4682 DEB
18505,18505,COSMOS 1275 DEB
18533,18533,OPS 4682 DEB
18534,18534,OPS 4682 DEB
18538,18538,OPS 4682 DEB
18545,18545,SL-8 DEB
18552,18552,SL-8 DEB
18592,18592,COSMOS 1275 DEB
18601,18601,COSMOS 1275 DEB
18637,18637,COSMOS 1275 DEB
18639,18639,COSMOS 1275 DEB
18640,18640,COSMOS 1275 DEB
18670,18670,OPS 4682 DEB
18675,18675,OPS 4682 DEB
18680,18680,SL-14 DEB
18691,18691,OPS 4682 DEB
18709,18709,COSMOS 1904
18710,18710,SL-8 R/B
18748,18748,COSMOS 1908
18749,18749,SL-14 R/B
18783,18783,OPS 4682 DEB
18784,18784,OPS 4682 DEB
18788,18788,COSMOS 1909
18789,18789,COSMOS 1910
18790,18790,COSMOS 1911
18791,18791,COSMOS 1912
18792,18792,COSMOS 1913
18793,18793,COSMOS 1914
18794,18794,SL-14 R/B
18820,18820,METEOR 2-17
18821,18821,SL-14 R/B
18902,18902,COSMOS 1275 DEB
18958,18958,COSMOS 1933
18959,18959,SL-14 R/B
18964,18964,OPS 4682 DEB
18965,18965,OPS 4682 DEB
18967,18967,OPS 4682 DEB
18985,18985,COSMOS 1934
18986,18986,SL-8 R/B
19025,19025,COSMOS 1275 DEB
19026,19026,COSMOS 1275 DEB
19027,19027,COSMOS 1275 DEB
19047,19047,COSMOS 1275 DEB
19111,19111,COSMOS 1691 DEB
19113,19113,OPS 4682 DEB
19137,19137,SL-14 DEB
19176,19176,SL-14 DEB
19185,19185,OPS 4682 DEB
19210,19210,COSMOS 1953
19211,19211,SL-14 R/B
19228,19228,SL-14 DEB
19242,19242,OPS 4682 DEB
19275,19275,SL-14 R/B
19324,19324,COSMOS 1959
19325,19325,SL-8 R/B
19336,19336,METEOR 3-2
19337,19337,SL-14 R/B
19355,19355,OPS 4682 DEB
19450,19450,SL-14 DEB
19511,19511,OPS 4682 DEB
19573,19573,COSMOS 1975
19574,19574,SL-14 R/B
19576,19576,OPS 4682 DEB
19593,19593,OPS 4682 DEB
19643,19643,SL-3 DEB
19646,19646,SL-14 DEB
19664,19664,OPS 4682 DEB
19787,19787,COSMOS 1996
19789,19789,COSMOS 1998
19790,19790,COSMOS 1999
19791,19791,SL-14 R/B
19826,19826,COSMOS 2004
19827,19827,SL-8 R/B
19851,19851,METEOR 2-18
19852,19852,SL-14 R/B
19853,19853,COSMOS 1275 DEB
19921,19921,COSMOS 2016
19922,19922,SL-8 R/B
19950,19950,OPS 4682 DEB
19964,19964,OPS 4682 DEB
20031,20031,OPS 4682 DEB
20045,20045,COSMOS 2026
20046,20046,SL-8 R/B
20048,20048,OPS 4682 DEB
20087,20087,COSMOS 1275 DEB
20089,20089,COSMOS 1275 DEB
